[DEBUG] 20-Apr-21 12:57:22:349] [DEBUG] [logging:158] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 20-Apr-21 12:57:22:437] [DEBUG] [HibernatePersistenceProvider:88] - Located and parsed 1 persistence units; checking each
[DEBUG] 20-Apr-21 12:57:22:437] [DEBUG] [HibernatePersistenceProvider:96] - Checking persistence-unit [name=my-persistence, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [my-persistence]
[DEBUG] 20-Apr-21 12:57:22:438] [DEBUG] [ProviderChecker:86] - Persistence-unit [my-persistence] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
[DEBUG] 20-Apr-21 12:57:22:443] [DEBUG] [LogHelper:102] - PersistenceUnitInfo [
	name: my-persistence
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/bruno/IdeaProjects/HibernateProject/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names []
	Mapping files names []
	Properties [
		javax.persistence.jdbc.user: bmilitzer
		packagesToScan: br.com.brunomilitzer.hibernate
		hibernate.dialect: org.hibernate.dialect.MySQL8Dialect
		hibernate.transaction.jta.platform: org.hibernate.dialect.MySQL8Dialect
		javax.persistence.jdbc.url: jdbc:mysql://localhost:3308/hibernate?useSSL=false&serverTimezone=UTC
		hibernate.format_sql: false
		javax.persistence.jdbc.driver: com.mysql.cj.jdbc.Driver
		hibernate.generate_statistics: true
		hibernate.show_sql: false
		javax.persistence.schema-generation.database.action: update
		javax.persistence.jdbc.password: s8mbt10a]
[DEBUG] 20-Apr-21 12:57:22:448] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 20-Apr-21 12:57:22:450] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 20-Apr-21 12:57:22:453] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 20-Apr-21 12:57:22:508] [INFO] [Version:44] - HHH000412: Hibernate ORM core version 5.4.14.Final
[DEBUG] 20-Apr-21 12:57:22:509] [DEBUG] [Environment:199] - HHH000206: hibernate.properties not found
[DEBUG] 20-Apr-21 12:57:22:607] [DEBUG] [ServiceBinding:68] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 20-Apr-21 12:57:22:620] [DEBUG] [RegionFactoryInitiator:118] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 20-Apr-21 12:57:22:621] [DEBUG] [RegionFactoryInitiator:49] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 20-Apr-21 12:57:22:698] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@35e52059
[DEBUG] 20-Apr-21 12:57:22:699] [DEBUG] [BasicTypeRegistry:157] - Adding type registration long -> org.hibernate.type.LongType@6e5bfdfc
[DEBUG] 20-Apr-21 12:57:22:700] [DEBUG] [BasicTypeRegistry:157] - Adding type registration long -> org.hibernate.type.LongType@6e5bfdfc
[DEBUG] 20-Apr-21 12:57:22:700] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6e5bfdfc
[DEBUG] 20-Apr-21 12:57:22:701] [DEBUG] [BasicTypeRegistry:157] - Adding type registration float -> org.hibernate.type.FloatType@2fb68ec6
[DEBUG] 20-Apr-21 12:57:22:701] [DEBUG] [BasicTypeRegistry:157] - Adding type registration float -> org.hibernate.type.FloatType@2fb68ec6
[DEBUG] 20-Apr-21 12:57:22:701] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2fb68ec6
[DEBUG] 20-Apr-21 12:57:22:702] [DEBUG] [BasicTypeRegistry:157] - Adding type registration double -> org.hibernate.type.DoubleType@24528a25
[DEBUG] 20-Apr-21 12:57:22:702] [DEBUG] [BasicTypeRegistry:157] - Adding type registration double -> org.hibernate.type.DoubleType@24528a25
[DEBUG] 20-Apr-21 12:57:22:703] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@24528a25
[DEBUG] 20-Apr-21 12:57:22:704] [DEBUG] [BasicTypeRegistry:157] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3ee39da0
[DEBUG] 20-Apr-21 12:57:22:704] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3ee39da0
[DEBUG] 20-Apr-21 12:57:22:705] [DEBUG] [BasicTypeRegistry:157] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3b718392
[DEBUG] 20-Apr-21 12:57:22:705] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3b718392
[DEBUG] 20-Apr-21 12:57:22:706] [DEBUG] [BasicTypeRegistry:157] - Adding type registration string -> org.hibernate.type.StringType@46292372
[DEBUG] 20-Apr-21 12:57:22:706] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.String -> org.hibernate.type.StringType@46292372
[DEBUG] 20-Apr-21 12:57:22:707] [DEBUG] [BasicTypeRegistry:157] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@530a8454
[DEBUG] 20-Apr-21 12:57:22:707] [DEBUG] [BasicTypeRegistry:157] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@31198ceb
[DEBUG] 20-Apr-21 12:57:22:708] [DEBUG] [BasicTypeRegistry:157] - Adding type registration url -> org.hibernate.type.UrlType@1db0ec27
[DEBUG] 20-Apr-21 12:57:22:709] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1db0ec27
[DEBUG] 20-Apr-21 12:57:22:710] [DEBUG] [BasicTypeRegistry:157] - Adding type registration Duration -> org.hibernate.type.DurationType@5bbbdd4b
[DEBUG] 20-Apr-21 12:57:22:710] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@5bbbdd4b
[DEBUG] 20-Apr-21 12:57:22:713] [DEBUG] [BasicTypeRegistry:157] - Adding type registration Instant -> org.hibernate.type.InstantType@450794b4
[DEBUG] 20-Apr-21 12:57:22:713] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@450794b4
[DEBUG] 20-Apr-21 12:57:22:715] [DEBUG] [BasicTypeRegistry:157] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@2899a8db
[DEBUG] 20-Apr-21 12:57:22:715] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@2899a8db
[DEBUG] 20-Apr-21 12:57:22:716] [DEBUG] [BasicTypeRegistry:157] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6105f8a3
[DEBUG] 20-Apr-21 12:57:22:716] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6105f8a3
[DEBUG] 20-Apr-21 12:57:22:717] [DEBUG] [BasicTypeRegistry:157] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@30272916
[DEBUG] 20-Apr-21 12:57:22:718] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@30272916
[DEBUG] 20-Apr-21 12:57:22:719] [DEBUG] [BasicTypeRegistry:157] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@29b732a2
[DEBUG] 20-Apr-21 12:57:22:719] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@29b732a2
[DEBUG] 20-Apr-21 12:57:22:720] [DEBUG] [BasicTypeRegistry:157] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@61019f59
[DEBUG] 20-Apr-21 12:57:22:720] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@61019f59
[DEBUG] 20-Apr-21 12:57:22:722] [DEBUG] [BasicTypeRegistry:157] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3f3ddbd9
[DEBUG] 20-Apr-21 12:57:22:722] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3f3ddbd9
[DEBUG] 20-Apr-21 12:57:22:723] [DEBUG] [BasicTypeRegistry:157] - Adding type registration date -> org.hibernate.type.DateType@22175d4f
[DEBUG] 20-Apr-21 12:57:22:723] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@22175d4f
[DEBUG] 20-Apr-21 12:57:22:724] [DEBUG] [BasicTypeRegistry:157] - Adding type registration time -> org.hibernate.type.TimeType@55a8dc49
[DEBUG] 20-Apr-21 12:57:22:725] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@55a8dc49
[DEBUG] 20-Apr-21 12:57:22:726] [DEBUG] [BasicTypeRegistry:157] - Adding type registration timestamp -> org.hibernate.type.TimestampType@2392212b
[DEBUG] 20-Apr-21 12:57:22:726] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2392212b
[DEBUG] 20-Apr-21 12:57:22:726] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2392212b
[DEBUG] 20-Apr-21 12:57:22:728] [DEBUG] [BasicTypeRegistry:157] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@66f66866
[DEBUG] 20-Apr-21 12:57:22:729] [DEBUG] [BasicTypeRegistry:157] - Adding type registration calendar -> org.hibernate.type.CalendarType@6c2f1700
[DEBUG] 20-Apr-21 12:57:22:729] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6c2f1700
[DEBUG] 20-Apr-21 12:57:22:729] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6c2f1700
[DEBUG] 20-Apr-21 12:57:22:730] [DEBUG] [BasicTypeRegistry:157] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1ea9f009
[DEBUG] 20-Apr-21 12:57:22:731] [DEBUG] [BasicTypeRegistry:157] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@76f10035
[DEBUG] 20-Apr-21 12:57:22:731] [DEBUG] [BasicTypeRegistry:157] - Adding type registration locale -> org.hibernate.type.LocaleType@328572f0
[DEBUG] 20-Apr-21 12:57:22:732] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@328572f0
[DEBUG] 20-Apr-21 12:57:22:733] [DEBUG] [BasicTypeRegistry:157] - Adding type registration currency -> org.hibernate.type.CurrencyType@44d70181
[DEBUG] 20-Apr-21 12:57:22:733] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@44d70181
[DEBUG] 20-Apr-21 12:57:22:734] [DEBUG] [BasicTypeRegistry:157] - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5fa05212
[DEBUG] 20-Apr-21 12:57:22:734] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5fa05212
[DEBUG] 20-Apr-21 12:57:22:735] [DEBUG] [BasicTypeRegistry:157] - Adding type registration class -> org.hibernate.type.ClassType@2d83c5a5
[DEBUG] 20-Apr-21 12:57:22:735] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@2d83c5a5
[DEBUG] 20-Apr-21 12:57:22:736] [DEBUG] [BasicTypeRegistry:157] - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@a68df9
[DEBUG] 20-Apr-21 12:57:22:736] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@a68df9
[DEBUG] 20-Apr-21 12:57:22:736] [DEBUG] [BasicTypeRegistry:157] - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1b1637e1
[DEBUG] 20-Apr-21 12:57:22:737] [DEBUG] [BasicTypeRegistry:157] - Adding type registration binary -> org.hibernate.type.BinaryType@56bc3fac
[DEBUG] 20-Apr-21 12:57:22:737] [DEBUG] [BasicTypeRegistry:157] - Adding type registration byte[] -> org.hibernate.type.BinaryType@56bc3fac
[DEBUG] 20-Apr-21 12:57:22:738] [DEBUG] [BasicTypeRegistry:157] - Adding type registration [B -> org.hibernate.type.BinaryType@56bc3fac
[DEBUG] 20-Apr-21 12:57:22:739] [DEBUG] [BasicTypeRegistry:157] - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@3ecedf21
[DEBUG] 20-Apr-21 12:57:22:739] [DEBUG] [BasicTypeRegistry:157] - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@3ecedf21
[DEBUG] 20-Apr-21 12:57:22:739] [DEBUG] [BasicTypeRegistry:157] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@3ecedf21
[DEBUG] 20-Apr-21 12:57:22:740] [DEBUG] [BasicTypeRegistry:157] - Adding type registration row_version -> org.hibernate.type.RowVersionType@125c082e
[DEBUG] 20-Apr-21 12:57:22:740] [DEBUG] [BasicTypeRegistry:157] - Adding type registration image -> org.hibernate.type.ImageType@6df20ade
[DEBUG] 20-Apr-21 12:57:22:741] [DEBUG] [BasicTypeRegistry:157] - Adding type registration characters -> org.hibernate.type.CharArrayType@78d50a3c
[DEBUG] 20-Apr-21 12:57:22:741] [DEBUG] [BasicTypeRegistry:157] - Adding type registration char[] -> org.hibernate.type.CharArrayType@78d50a3c
[DEBUG] 20-Apr-21 12:57:22:741] [DEBUG] [BasicTypeRegistry:157] - Adding type registration [C -> org.hibernate.type.CharArrayType@78d50a3c
[DEBUG] 20-Apr-21 12:57:22:742] [DEBUG] [BasicTypeRegistry:157] - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@79c5636f
[DEBUG] 20-Apr-21 12:57:22:743] [DEBUG] [BasicTypeRegistry:157] - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@79c5636f
[DEBUG] 20-Apr-21 12:57:22:744] [DEBUG] [BasicTypeRegistry:157] - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@79c5636f
[DEBUG] 20-Apr-21 12:57:22:744] [DEBUG] [BasicTypeRegistry:157] - Adding type registration text -> org.hibernate.type.TextType@757f675c
[DEBUG] 20-Apr-21 12:57:22:745] [DEBUG] [BasicTypeRegistry:157] - Adding type registration ntext -> org.hibernate.type.NTextType@535b8c24
[DEBUG] 20-Apr-21 12:57:22:746] [DEBUG] [BasicTypeRegistry:157] - Adding type registration blob -> org.hibernate.type.BlobType@5ba745bc
[DEBUG] 20-Apr-21 12:57:22:746] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@5ba745bc
[DEBUG] 20-Apr-21 12:57:22:747] [DEBUG] [BasicTypeRegistry:157] - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@15fc442
[DEBUG] 20-Apr-21 12:57:22:748] [DEBUG] [BasicTypeRegistry:157] - Adding type registration clob -> org.hibernate.type.ClobType@42561fba
[DEBUG] 20-Apr-21 12:57:22:748] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@42561fba
[DEBUG] 20-Apr-21 12:57:22:749] [DEBUG] [BasicTypeRegistry:157] - Adding type registration nclob -> org.hibernate.type.NClobType@771158fb
[DEBUG] 20-Apr-21 12:57:22:749] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@771158fb
[DEBUG] 20-Apr-21 12:57:22:750] [DEBUG] [BasicTypeRegistry:157] - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6826c41e
[DEBUG] 20-Apr-21 12:57:22:751] [DEBUG] [BasicTypeRegistry:157] - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@437ebf59
[DEBUG] 20-Apr-21 12:57:22:752] [DEBUG] [BasicTypeRegistry:157] - Adding type registration serializable -> org.hibernate.type.SerializableType@71154f21
[DEBUG] 20-Apr-21 12:57:22:754] [DEBUG] [BasicTypeRegistry:157] - Adding type registration object -> org.hibernate.type.ObjectType@55f45b92
[DEBUG] 20-Apr-21 12:57:22:754] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@55f45b92
[DEBUG] 20-Apr-21 12:57:22:755] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@3dedb4a6
[DEBUG] 20-Apr-21 12:57:22:755] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@57f64f5e
[DEBUG] 20-Apr-21 12:57:22:755] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@415e0bcb
[DEBUG] 20-Apr-21 12:57:22:756] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@194152cf
[DEBUG] 20-Apr-21 12:57:22:756] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@49d98dc5
[DEBUG] 20-Apr-21 12:57:22:756] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@2c30b71f
[DEBUG] 20-Apr-21 12:57:22:756] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@1d81e101
[DEBUG] 20-Apr-21 12:57:22:757] [DEBUG] [BasicTypeRegistry:157] - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@ec50f54
[DEBUG] 20-Apr-21 12:57:22:767] [DEBUG] [BootstrapContextImpl:272] - Injecting ScanEnvironment [org.hibernate.jpa.boot.internal.StandardJpaScanEnvironmentImpl@430fa4ef] into BootstrapContext; was [null]
[DEBUG] 20-Apr-21 12:57:22:768] [DEBUG] [BootstrapContextImpl:267] - Injecting ScanOptions [org.hibernate.boot.archive.scan.internal.StandardScanOptions@1761de10] into BootstrapContext; was [org.hibernate.boot.archive.scan.internal.StandardScanOptions@22df874e]
[DEBUG] 20-Apr-21 12:57:22:804] [DEBUG] [BootstrapContextImpl:262] - Injecting JPA temp ClassLoader [null] into BootstrapContext; was [null]
[DEBUG] 20-Apr-21 12:57:22:805] [DEBUG] [ClassLoaderAccessImpl:45] - ClassLoaderAccessImpl#injectTempClassLoader(null) [was null]
[DEBUG] 20-Apr-21 12:57:22:814] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 20-Apr-21 12:57:22:814] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 20-Apr-21 12:57:22:815] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 20-Apr-21 12:57:22:815] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 20-Apr-21 12:57:22:815] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 20-Apr-21 12:57:22:816] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 20-Apr-21 12:57:22:817] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 20-Apr-21 12:57:22:818] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 20-Apr-21 12:57:22:818] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 20-Apr-21 12:57:22:819] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 20-Apr-21 12:57:22:819] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 20-Apr-21 12:57:22:820] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 20-Apr-21 12:57:22:820] [DEBUG] [DefaultIdentifierGeneratorFactory:81] - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
